,number,value,duration,params_Dropout,params_learn_rate,system_attrs_grid_id,system_attrs_search_space
10,10,0.5357603180591266,0 days 00:00:12.527055,0.8568965517241379,0.017789473684210525,531,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
11,11,0.3938307593174776,0 days 00:00:12.618275,0.7327586206896551,0.01931578947368421,452,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
12,12,0.34398509118278825,0 days 00:00:12.564802,0.546551724137931,0.025421052631578945,336,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
13,13,0.08311633381585282,0 days 00:00:12.829631,0.2672413793103448,0.01931578947368421,152,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
14,14,0.04050095632831263,0 days 00:00:13.065936,0.08103448275862069,0.010157894736842105,26,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
15,15,0.23442213650941857,0 days 00:00:12.709892,0.5155172413793103,0.007105263157894736,304,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
16,16,0.17856637780865042,0 days 00:00:12.901408,0.36034482758620684,0.025421052631578945,216,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
17,17,0.5055838150934379,0 days 00:00:12.307117,0.95,0.013210526315789471,588,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
18,18,0.32745524000485743,0 days 00:00:12.888824,0.48448275862068957,0.01931578947368421,292,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
19,19,0.19022432530681294,0 days 00:00:12.527525,0.5155172413793103,0.005578947368421052,303,"OrderedDict([('Dropout', [0.05, 0.08103448275862069, 0.11206896551724138, 0.14310344827586208, 0.17413793103448275, 0.20517241379310341, 0.2362068965517241, 0.2672413793103448, 0.2982758620689655, 0.32931034482758614, 0.36034482758620684, 0.39137931034482754, 0.42241379310344823, 0.45344827586206893, 0.48448275862068957, 0.5155172413793103, 0.546551724137931, 0.5775862068965517, 0.6086206896551724, 0.6396551724137931, 0.6706896551724137, 0.7017241379310345, 0.7327586206896551, 0.7637931034482758, 0.7948275862068965, 0.8258620689655172, 0.8568965517241379, 0.8879310344827586, 0.9189655172413792, 0.95]), ('learn_rate', [0.001, 0.002526315789473684, 0.0040526315789473685, 0.005578947368421052, 0.007105263157894736, 0.00863157894736842, 0.010157894736842105, 0.011684210526315787, 0.013210526315789471, 0.014736842105263156, 0.01626315789473684, 0.017789473684210525, 0.01931578947368421, 0.020842105263157894, 0.022368421052631576, 0.02389473684210526, 0.025421052631578945, 0.02694736842105263, 0.028473684210526314, 0.03])])"
